,Model,Similarity Score,Time Taken
0,Roberta,0.996836,0.13543295860290527
1,Roberta,0.98961806,0.16473603248596191
2,Roberta,0.98769176,0.12711310386657715
3,Roberta,0.9545219,0.15056991577148438
4,Roberta,0.9762181,0.10907411575317383
5,Roberta,0.9926828,0.1761162281036377
6,Roberta,0.97450125,0.13072896003723145
7,Roberta,0.9921165,0.1274549961090088
8,Roberta,0.9815593,0.13051772117614746
9,Roberta,0.9805501,0.1334095001220703
10,Roberta,0.98175514,0.1524813175201416
11,Roberta,0.99175626,0.11168432235717773
12,Roberta,0.9933704,0.11017441749572754
13,Roberta,0.99666953,0.1147465705871582
14,Roberta,0.9990272,0.17885637283325195
15,Roberta,0.98712105,0.14864325523376465
16,Roberta,0.998296,0.09873628616333008
17,Roberta,0.9851738,0.11092972755432129
18,Roberta,0.99154633,0.1345512866973877
19,Roberta,0.99374795,0.14257311820983887
20,Roberta,0.9908669,0.10639333724975586
21,Roberta,0.9807128,0.13438081741333008
22,Roberta,0.98572916,0.11224150657653809
23,Roberta,0.9825511,0.13379883766174316
24,Roberta,0.979971,0.13307642936706543
25,Roberta,0.99875754,0.1393427848815918
26,Roberta,0.99319404,0.10374116897583008
27,Roberta,0.976698,0.10684585571289062
28,Roberta,0.99454695,0.12087106704711914
29,Roberta,0.9782725,0.13858318328857422
